,trackName,artistName,total_listens_track,genres
15669,Far Out,Homeboy Sandman,1,east coast hip hop
15682,"Far, Far Away",Wilco,1,alternative country
15683,"Far, Far Away",Wilco,1,alternative rock
15684,"Far, Far Away",Wilco,1,chamber pop
15685,"Far, Far Away",Wilco,1,chicago indie
15686,"Far, Far Away",Wilco,1,indie folk
15687,"Far, Far Away",Wilco,1,indie pop
15688,"Far, Far Away",Wilco,1,indie rock
15689,"Far, Far Away",Wilco,1,rock
15690,"Far, Far Away",Wilco,1,roots rock
15691,"Far, Far Away",Wilco,1,slow core
15692,"Far, Far Away",Wilco,1,stomp and holler
15693,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,alternative country
15664,Far Nearer,Jamie xx,1,indie soul
15663,Far Nearer,Jamie xx,1,future garage
15662,Far Nearer,Jamie xx,1,electronica
15599,Family,CHANCE THE RAPPER,1,pop rap
15584,Fame - 1999 Remaster,David Bowie,1,glam rock
15585,Fame - 1999 Remaster,David Bowie,1,permanent wave
15586,Fame - 1999 Remaster,David Bowie,1,protopunk
15587,Fame - 1999 Remaster,David Bowie,1,rock
15596,Family,CHANCE THE RAPPER,1,chicago rap
15597,Family,CHANCE THE RAPPER,1,conscious hip hop
15598,Family,CHANCE THE RAPPER,1,hip hop
15600,Family,CHANCE THE RAPPER,1,rap
15661,Far Away From Home,Cuco,1,dream pop
15603,Family Tongues,Night Moves,1,indie rock
15645,"Fantasia and Fugue in A Minor, BWV 904",Johann Sebastian Bach,1,baroque
15646,"Fantasia and Fugue in A Minor, BWV 904",Johann Sebastian Bach,1,classical
15647,"Fantasia and Fugue in A Minor, BWV 904",Johann Sebastian Bach,1,early music
15648,"Fantasia and Fugue in A Minor, BWV 904",Johann Sebastian Bach,1,german baroque
15659,Fantasía,Chicano Batman,1,la indie
15660,Far Away From Home,Cuco,1,bedroom pop
15694,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,cosmic american
15696,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,folk
15582,Fame - 1999 Remaster,David Bowie,1,classic rock
15697,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,folk rock
15718,Fashionista,CHAI,1,japanese alternative rock
15725,Fast Mail Rambler,Lightnin Hopkins,1,acoustic blues
15726,Fast Mail Rambler,Lightnin Hopkins,1,blues
15727,Fast Mail Rambler,Lightnin Hopkins,1,country blues
15728,Fast Mail Rambler,Lightnin Hopkins,1,delta blues
15729,Fast Mail Rambler,Lightnin Hopkins,1,texas blues
15730,Fast Mail Rambler,Lightnin Hopkins,1,traditional blues
15737,Father Stretch My Hands Pt. 1,Kanye West,1,chicago rap
15738,Father Stretch My Hands Pt. 1,Kanye West,1,rap
15758,"Father, Father",Jay Prince,1,alternative r&b
15759,"Father, Father",Jay Prince,1,indie r&b
15760,"Father, Father",Jay Prince,1,indie soul
15761,"Father, Father",Jay Prince,1,trap soul
15762,"Father, Father",Jay Prince,1,uk alternative hip hop
15763,"Father, Father",Jay Prince,1,underground hip hop
15775,Fazers,King Geedorah,1,alternative hip hop
15776,Fazers,King Geedorah,1,hardcore hip hop
15717,Farmhouse,Phish,1,roots rock
15716,Farmhouse,Phish,1,jam band
15715,Farmhouse,Phish,1,blues rock
15705,Farewell Transmission,Songs: Ohia,1,alternative rock
15698,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,new americana
15699,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,outlaw country
