,trackName,artistName,total_listens_track,genres
51302,The Way We Move,Langhorne Slim,17,anti-folk
36701,Oulala,Vundabar,17,indie garage rock
36026,One Another,Mac DeMarco,17,edmonton indie
36860,Outro,Vulfpeck,17,ann arbor indie
52431,Title and Registration,Death Cab for Cutie,17,washington indie
14615,Endors Toi,Tame Impala,17,neo-psychedelic
35114,Not What I Needed,Car Seat Headrest,17,alternative rock
40770,River Water,Moon Taxi,16,modern alternative rock
38756,Posthumous Forgiveness,Tame Impala,16,neo-psychedelic
5064,Big Blue,Vampire Weekend,16,indie rock
4405,Beach Life-In-Death,Car Seat Headrest,16,alternative rock
20169,Hard To Explain,The Strokes,16,rock
21942,Hope,(Sandy) Alex G,16,dream pop
50283,The Modern Age,The Strokes,16,rock
48376,Tears in the Diamond,St. Paul & The Broken Bones,16,retro soul
33557,Nangs,Tame Impala,16,australian psych
42591,Self Care,Mac Miller,16,hip hop
48256,Tangled up in Blue,Bob Dylan,16,album rock
39811,Rango II,Vulfpeck,16,ann arbor indie
35650,Oh! Darling - Remastered 2009,The Beatles,16,rock
10246,Conrad Tokyo,A Tribe Called Quest,16,queens hip hop
7624,Call It Home,The California Honeydrops,16,funk
34165,"New York, I Love You but Youre Bringing Me Down",LCD Soundsystem,16,indietronica
52964,Trouble,Cage The Elephant,16,rock
30806,Manic Depression,Jimi Hendrix,16,rock
39930,Ready To Let Go,Cage The Elephant,16,garage rock
28573,Life,The Walters,16,indie pop
29055,Little Talks,Of Monsters And Men,16,metropopolis
29743,Lost In Yesterday,Tame Impala,16,neo-psychedelic
9675,Cold Cold Cold,Cage The Elephant,16,indie pop
47523,Sweep Me Off My Feet,Pond,16,indietronica
6885,Broccoli,DRAM,16,trap
54893,War on War,Wilco,16,roots rock
866,A Day In The Life - Remastered 2009,The Beatles,16,british invasion
472,2009,Mac Miller,16,rap
31684,Midnight Train to Georgia,Gladys Knight & The Pips,16,quiet storm
32697,Movin Backwards,A Tribe Called Quest,16,jazz rap
5318,Bills,LunchMoney Lewis,16,miami hip hop
55481,We Will Not Make It (Not Without You),Twin Peaks,16,modern power pop
17465,Friendship (Is A Small Boat In A Storm),Chicano Batman,16,la indie
51496,The Youth,MGMT,15,rock
23980,"If You Dont Know Now, You Never Will",Drugdealer,15,psychedelic pop
28763,"Like a Rolling Stone - Live at the Isle of Wight, UK - August 1969",Bob Dylan,15,album rock
54623,Wake Up,Arcade Fire,15,dance-punk
10769,Crown of Love,Arcade Fire,15,baroque pop
35942,On the Line,Twin Peaks,15,chicago indie
48398,Tee Time,Vulfpeck,15,instrumental funk
8371,Caseys Groove,Twin Peaks,15,modern power pop
52108,Threw My Love Away,Okey Dokey,15,indie garage rock
49810,The Greatest,Alabama Shakes,15,alabama indie
47488,Susie - Bonus Track,Post Animal,15,neo-psychedelic
21597,Holding Pattern,Allah-Las,15,freak folk
31113,Maud Gone,Car Seat Headrest,15,chamber pop
16749,Follow the Leader,Foxygen,15,neo-psychedelic
16776,Fools,Drugdealer,15,experimental pop
53817,Unfamiliar Sun,Twin Peaks,15,modern power pop
19283,Gossip,Tame Impala,15,australian psych
46519,Stupid Rose,Kweku Collins,15,underground hip hop
8642,Champion,Kanye West,15,rap
56286,"When They Fight, They Fight",Generationals,15,alternative dance
2398,"Alone, Together",The Strokes,15,rock
1222,ATM,J. Cole,15,hip hop
3648,BLEACH,BROCKHAMPTON,15,hip hop
49427,The Donald,A Tribe Called Quest,15,conscious hip hop
17776,Game Winner,Vulfpeck,15,instrumental funk
11302,Dance Through It,Twin Peaks,15,modern power pop
57318,With You,Twin Peaks,15,chicago indie
54838,Walt Whitmans Niece,Billy Bragg,15,folk rock
30383,Machine Gun Funk - 2006 Remaster,The Notorious B.I.G.,15,east coast hip hop
53578,Unbelievers,Vampire Weekend,15,indie rock
39953,Ready to Start,Arcade Fire,15,canadian indie
26423,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,15,rap
48245,Talking Straight,Rolling Blackouts Coastal Fever,15,australian garage punk
1605,Aint No Mountain High Enough,Marvin Gaye,15,classic soul
4043,Bad Self Portraits,Lake Street Dive,15,new americana
57197,Wings,Mac Miller,15,hip hop
30186,Loving Machine,TV Girl,15,experimental pop
8151,Carl Sagan,Night Moves,15,indie rock
55263,We Begged 2 Explode,Jeff Rosenstock,15,lo-fi
42790,Sexual Healing - Kygo Remix,Marvin Gaye,15,motown
38202,Planet God Damn (feat. Njomza),Mac Miller,15,rap
15186,Expectation,Tame Impala,15,neo-psychedelic
56989,Why Wont They Talk To Me?,Tame Impala,14,neo-psychedelic
7696,Can I Kick It?,A Tribe Called Quest,14,gangster rap
40020,Reality In Motion,Tame Impala,14,neo-psychedelic
7872,Cant Cool Me Down,Car Seat Headrest,14,indie punk
39641,Rainy Day Women #12 & 35,Bob Dylan,14,folk rock
27045,Kids...,A Tribe Called Quest,14,conscious hip hop
14986,Everyday Struggle - 2005 Remaster,The Notorious B.I.G.,14,rap
13684,Drive My Car - Remastered 2009,The Beatles,14,rock
51070,The System Only Dreams in Total Darkness,The National,14,chamber pop
47051,Summer Friends (feat. Jeremih & Francis & The Lights),Chance the Rapper,14,rap
16625,Flower Moon (feat. Steve Lacy),Vampire Weekend,14,modern rock
9890,Come On To Me,Paul McCartney,14,album rock
38915,Pretty Pimpin,Kurt Vile,14,alternative rock
10609,Crazy Girls,The California Honeydrops,14,deep new americana
35718,Old Friend,The Walters,14,indie pop
37437,Past Life,Tame Impala,14,neo-psychedelic
28670,Lightness,Death Cab for Cutie,14,washington indie
6917,Brokedown- Parts 1 and 2,The California Honeydrops,14,bay area indie
50046,The Killing Season,A Tribe Called Quest,14,conscious hip hop
56397,Where Angels Fear To Tread,Disclosure,14,house
31863,Ministry of Alienation,Unknown Mortal Orchestra,14,indie pop
18294,Girl Of The Year,Beach House,14,dream pop
17593,Funky Sensation,Disclosure,14,tropical house
85,"(Quinn the Eskimo) The Mighty Quinn - Live at the Isle of Wight, UK - August 1969",Bob Dylan,14,classic rock
12049,Dear Prudence - Remastered 2009,The Beatles,14,rock
43795,Sister,Mac DeMarco,14,edmonton indie
27975,Lazuli,Beach House,14,art pop
27819,Last Ride,Beach House,14,art pop
10567,Cover Up The Sun,Counting Crows,14,alternative rock
2778,Angelina,Pinegrove,14,small room
51329,The Weather,Pond,14,indie rock
56110,Whats Left,The Walters,14,chicago indie
2754,Angel Child,Chicano Batman,14,la indie
17072,Fourth Time Around,Bob Dylan,14,album rock
3305,Ashes of American Flags,Wilco,14,alternative country
12292,Desire Be Desire Go,Tame Impala,14,neo-psychedelic
27673,Laid in Gold,Twin Peaks,14,modern power pop
17296,French Press,Rolling Blackouts Coastal Fever,14,modern jangle pop
5759,Blackbird - Remastered 2009,The Beatles,14,rock
44454,So It Goes,Mac Miller,14,pittsburgh rap
55407,We The People....,A Tribe Called Quest,14,rap
2027,All My Friends,LCD Soundsystem,14,dance-punk
53738,Under a Smile,Twin Peaks,14,indie garage rock
56039,Whateva Will Be,A Tribe Called Quest,14,rap
34103,New Slang,The Shins,14,albuquerque indie
7455,CHA CHA,DRAM,14,pop rap
36125,One More Love Song,Mac DeMarco,14,edmonton indie
33944,Never as Tired as When Im Waking Up,LCD Soundsystem,14,modern rock
16092,Fields of Blue,Tennis,14,shimmer pop
25746,Ive Got A Feeling - Remastered 2009,The Beatles,13,british invasion
59139,pick up the phone,Young Thug,13,rap
