,artistName,total_listens,genres
6168,Of Monsters And Men,68,stomp and holler
6167,Of Monsters And Men,68,pop rock
6166,Of Monsters And Men,68,modern rock
6165,Of Monsters And Men,68,metropopolis
6164,Of Monsters And Men,68,indie pop
6824,Radiohead,68,rock
6823,Radiohead,68,permanent wave
6819,Radiohead,68,alternative rock
6820,Radiohead,68,art rock
6163,Of Monsters And Men,68,folk-pop
1230,Brother Ali,66,alternative hip hop
1233,Brother Ali,66,minnesota hip hop
1231,Brother Ali,66,conscious hip hop
8388,The Decemberists,66,indie folk
8387,The Decemberists,66,chamber pop
8386,The Decemberists,66,canadian indie
1234,Brother Ali,66,underground rap
8391,The Decemberists,66,modern folk rock
1232,Brother Ali,66,hip hop
8385,The Decemberists,66,baroque pop
8390,The Decemberists,66,indie rock
1229,Brother Ali,66,abstract hip hop
8384,The Decemberists,66,anti-folk
8383,The Decemberists,66,alternative rock
8392,The Decemberists,66,modern rock
8393,The Decemberists,66,stomp and holler
8389,The Decemberists,66,indie pop
2803,FKJ,64,indie soul
2802,FKJ,64,filter house
1919,DAngelo,61,soul
1913,DAngelo,61,alternative r&b
1914,DAngelo,61,funk
1915,DAngelo,61,hip hop
1918,DAngelo,61,r&b
6721,Pusha T,61,gangster rap
1920,DAngelo,61,urban contemporary
6722,Pusha T,61,hip hop
2605,Electric Guest,61,vapor soul
2604,Electric Guest,61,shimmer pop
2602,Electric Guest,61,la indie
2601,Electric Guest,61,indietronica
2600,Electric Guest,61,indie rock
2599,Electric Guest,61,indie pop
2598,Electric Guest,61,alternative dance
1916,DAngelo,61,indie soul
6727,Pusha T,61,underground hip hop
6726,Pusha T,61,trap
6725,Pusha T,61,southern hip hop
6724,Pusha T,61,rap
6723,Pusha T,61,pop rap
1917,DAngelo,61,neo soul
2603,Electric Guest,61,modern rock
9278,Toro Y Moi,59,alternative dance
8799,The Postal Service,59,indietronica
9284,Toro Y Moi,59,new rave
9283,Toro Y Moi,59,indietronica
